"GSM3433436"	"GSM3433437"	"GSM3433438"	"GSM3433439"
"THBS3"	688.7478	568.1534	670.2306	1413.672
"SLC38A2"	4434.281	2271.73	12016.31	11171.99
"XG"	68.8158	119.5106	116.3001	179.4245
"DDR1"	1261.23	1176.271	569.264	1071.55
"CCNB1"	367.9462	503.8774	533.4265	301.0176
"ZNF496"	47.37672	30.29706	24.47824	63.05816
"CRYM"	48.75578	39.79056	58.67451	82.41439
"SCIN"	1.377831	7.352252	11.28758	32.64863
"APOH"	8.809216	14.33613	5.358776	41.80715
"SMAD7"	348.0244	1525.02	219.3036	954.2532
"SLC7A2"	6.235298	3.152516	8.968042	15.88596
"LALBA"	22.72841	21.89648	14.36735	52.9969
"KIR2DL5A"	34.5527	40.23364	14.05293	51.86541
"DIO3"	49.10085	41.74258	19.02674	46.28325
"K6IRS4"	0.8512295	13.07079	0.3279379	36.67822
"TRPC1"	141.9823	95.74712	518.6882	629.788
"LIG3"	375.2362	246.8917	233.3871	270.6043
"GHSR"	24.93949	29.34139	34.71466	61.30266
"HSD11B1"	63.8181	40.67907	38.21092	34.77356
"FLJ32784"	9.022414	16.54902	0.725845	47.22463
"RNASE2"	4.749307	3.788394	8.994417	31.7013
"MTHFD1"	357.3103	380.5523	234.2173	245.9005
"LOC149134"	95.20898	70.17207	87.81287	93.59987
"NALP7"	12.55384	5.652948	5.145296	34.82557
"P2RY5"	21.34611	22.92185	70.79182	120.0225
"GUCY2F"	14.67655	11.67149	1.79384	35.59166
"PNLIPRP1"	10.11697	30.55695	9.604246	28.75985
"COMMD9"	2454.034	2758.274	910.4634	975.5233
"DDX43"	28.07351	26.11767	22.14401	71.60914
"PCBP4"	33.5643	31.54306	8.550741	48.2449
"NETO1"	1.236395	3.867566	-1.814674	32.48001
"CCDC51"	1564.788	1064.317	692.8181	614.3428
"CENTD1"	23.69485	21.52994	58.42883	70.44076
"ITSN1"	1970.46	1354.304	2532.182	2366.943
"LXN"	6118.918	7002.228	12068.29	13858.69
"DTX3"	517.4662	428.8444	268.2616	345.5008
"SELM"	7536.837	13133.15	3092.284	3649.115
"RFXDC1"	-7.417753	2.237155	-6.584362	27.97938
"C1orf60"	1261.379	1046.508	994.669	1308.044
"TGOLN2"	3121.209	2374.17	3160.889	3710.343
"ALG14"	494.1889	533.7307	265.1582	274.0362
"SEZ6L2"	146.2626	77.87556	89.90012	123.7026
"PRCC"	664.6417	749.196	408.8517	461.579
"CNOT8"	404.9819	746.7159	661.2776	812.1457
"PHLPPL"	140.0047	218.5223	170.1634	199.8795
"FAM13A1"	190.0887	154.1771	273.1143	233.8301
"PPP2R2B"	20.67701	21.88989	24.49751	56.90894
"ZSCAN2"	523.8861	532.8054	279.2351	490.8122
"PXDNL"	27.20946	7.587065	7.006029	43.76943
"FBXW11"	1327.288	944.7642	1455.823	1267.452
"LOC202459"	41.41806	66.71872	116.3467	183.0783
"PAGE2"	9.085737	9.893982	4.771461	40.66935
"SLC22A17"	2350.484	2008.4	1483.953	1844.516
"EIF2AK4"	975.9718	695.7214	1423.299	1705.6
"RP11-529I10.4"	3733.177	5091.032	2130.002	2547.541
"LOC90925"	36.2399	43.30441	25.33726	46.69266
"OR2AE1"	9.08557	2.194368	-2.492351	27.60258
"DDX4"	8.226103	10.94135	2.39514	29.50314
"OR51I1"	15.29636	19.28839	-2.239016	36.55845
"DDX59"	499.7056	481.4771	522.6315	504.8271
"CYCS"	377.306	433.3119	532.4835	409.8824
"OFD1"	102.1718	95.57104	483.5172	521.1835
"DDX42"	924.2108	808.5529	782.7234	940.4393
"UBXD5"	36.36208	24.39429	17.81136	56.05148
"PSME3"	2630.714	2471.127	1915.965	1880.362
"UHMK1"	216.893	147.0581	294.9336	384.2638
"KRTAP15-1"	9.407142	5.46331	2.388821	34.32692
"JTB"	263.3303	210.5173	141.1109	216.5413
"LYN"	2195.034	2212.985	1906.715	1330.901
"TXNDC4"	59.70444	49.83535	71.7653	108.5253
"RAB37"	9.381415	18.42461	-7.396471	39.9091
"TCF2"	19.62898	19.76118	15.86588	33.62676
"RPS6KC1"	137.7825	116.0448	132.6217	195.7485
"SSTR5"	16.4693	19.20765	15.56974	48.43743
"SLC27A6"	432.0938	393.5222	320.2134	489.4386
"CASR"	-9.843843	2.671769	-9.990885	14.72225
"STK24"	5664.933	3802.264	4465.722	3828.641
"COVA1"	17.22198	22.2083	6.363152	55.34861
"GALNT8"	1.486387	3.316379	-4.670867	19.76293
"SPTLC1"	519.9023	401.9124	600.4578	692.7112
"MR1"	1068.205	1085.994	441.1559	375.758
"KIAA1787"	71.40052	76.59103	34.95646	70.9266
"HAL"	33.69289	38.27833	23.07444	50.87274
"MAP2K3"	21.41375	23.84004	-0.2408912	27.36949
"RC74"	1766.631	1438.638	1245.827	1512.444
"SERINC3"	3130.794	2367.442	1797.64	1725.35
"TBL1XR1"	169.4934	80.8801	440.3374	391.8832
"GAB2"	4.38827	19.89626	2.183861	34.79538
"NBLA04196"	83.42927	85.44907	359.5204	357.3091
"DIPA"	671.9752	854.6885	269.633	324.0491
"FBXW12"	28.50885	20.94939	17.67607	43.33791
"IPO13"	934.9928	900.0506	414.0764	457.6432
"BBS5"	24.9148	27.78921	58.84124	78.27175
"LDLR"	9433.896	4730.8	6305.371	5229.149
"GK"	130.1948	149.261	128.5979	65.19603
"SLC11A2"	1991.987	2052.516	2155.458	2300.077
"RASSF4"	310.5864	360.0459	207.8913	237.6324
"TMEM93"	3417.643	4140.19	2033.744	2375.604
"RAD52"	23.28387	30.27827	20.88274	42.15039
"ANKRD2"	46.99713	118.0401	25.50999	43.38891
"SLC11A1"	10.84582	18.93516	3.010304	44.10072
"LOC284739"	19.27593	14.13705	1.465997	42.63944
"KRTCAP3"	22.67325	31.97006	8.260041	53.55257
"IL18R1"	121.1829	150.6055	272.6575	138.1436
"TPH2"	-8.23122	-2.188053	-1.662586	28.24227
"MTHFS"	1406.38	2281.24	1229.16	959.9496
"IFNB1"	9.77819	11.70585	-1.117707	41.30905
"IKIP"	142.4814	111.0262	172.9928	315.613
"NPIP"	462.3842	371.3359	371.5251	573.7726
"SLC35A3"	247.1631	205.5139	1200.141	1517.956
"DDX24"	4947.441	3636.323	2293	2103.492
"KLC2"	45.65376	48.96193	22.43159	57.19969
"FBXO22"	252.0705	460.1402	230.7148	408.7594
"COL4A2"	1032.908	1276.25	403.9688	1169.846
"ZNF193"	312.1227	494.0309	265.9958	411.4245
"DHRS4"	240.1241	310.5262	63.97057	100.4514
"ZNF480"	160.3531	80.53114	476.9227	600.4094
"ATAD2"	77.09641	48.98511	273.3109	208.2837
"SERPINB11"	1.696634	10.47803	-9.614566	22.32759
"ZNF554"	25.8881	24.46958	20.98775	60.74117
"ZNF101"	68.47471	83.95401	39.42723	73.10233
"HIST2H2AB"	76.19442	69.80246	58.2115	62.66273
"HTLF"	182.8764	83.2635	819.5662	1002.834
"C8G"	20.4072	13.72801	2.100726	39.60932
"THNSL1"	139.6769	118.4994	220.7224	230.2681
"BRD8"	3.665046	1.866091	-1.774969	23.70521
"CNNM2"	45.43521	28.09965	9.194178	49.68517
"TMEM17"	170.6797	183.5245	164.9738	216.5139
"PPGB"	2228.546	1828.983	792.6749	945.4198
"NTRK2"	19.03318	26.30218	14.79245	38.78232
"IL17B"	5.444876	30.27098	-2.295717	36.81357
"PRMT3"	101.4801	103.3602	117.7254	141.1976
"ABHD7"	52.89842	85.79552	45.35016	51.0533
"INHA"	51.23247	128.0645	32.51245	71.94715
"MARVELD3"	2.921547	15.28629	0.9723238	30.4433
"LOC115098"	478.552	956.6518	110.7897	131.3766
"FLJ42957"	2.907816	17.17479	-5.122092	29.40948
"ASF1A"	182.5067	201.7238	732.8367	1006.267
"C21orf37"	8.213033	8.307602	4.265449	21.44808
"OR8D2"	-5.999156	1.479994	-3.261164	17.92942
"MGC52498"	5.963822	3.733926	-5.989175	18.67407
"ZDHHC24"	884.0452	1063.883	385.0957	380.7639
